stat.question_id,stat.frontend_question_id,stat.question__title,stat.question__title_slug,stat.total_acs,stat.total_submitted
2400,2322,Minimum Score After Removals on a Tree,minimum-score-after-removals-on-a-tree,7106,13624
2394,2302,Count Subarrays With Score Less Than K,count-subarrays-with-score-less-than-k,27350,50296
2393,2301,Match Substring After Replacement,match-substring-after-replacement,13946,34199
2390,2306,Naming a Company,naming-a-company,60000,129075
2389,2296,Design a Text Editor,design-a-text-editor,23255,52475
2380,2286,Booking Concert Tickets in Groups,booking-concert-tickets-in-groups,6520,37918
2375,2290,Minimum Obstacle Removal to Reach Corner,minimum-obstacle-removal-to-reach-corner,23552,44246
2368,2281,Sum of Total Strength of Wizards,sum-of-total-strength-of-wizards,18730,67477
2364,2246,Longest Path With Different Adjacent Characters,longest-path-with-different-adjacent-characters,72075,131919
2360,2272,Substring With Largest Variance,substring-with-largest-variance,67716,146345
2357,2276,Count Integers in Intervals,count-integers-in-intervals,17430,49685
2353,2242,Maximum Score of a Node Sequence,maximum-score-of-a-node-sequence,11692,30518
2349,2267, Check if There Is a Valid Parentheses String Path,check-if-there-is-a-valid-parentheses-string-path,15137,39296
2344,2258,Escape the Spreading Fire,escape-the-spreading-fire,10490,29895
2340,2262,Total Appeal of A String,total-appeal-of-a-string,31755,57204
2334,2251,Number of Flowers in Full Bloom,number-of-flowers-in-full-bloom,78544,138663
2330,2234,Maximum Total Beauty of the Gardens,maximum-total-beauty-of-the-gardens,7071,24161
2326,2223,Sum of Scores of Built Strings,sum-of-scores-of-built-strings,7947,19960
2321,2203,Minimum Weighted Subgraph With the Required Paths,minimum-weighted-subgraph-with-the-required-paths,11530,31381
2319,2213,Longest Substring of One Repeating Character,longest-substring-of-one-repeating-character,4570,14231
2311,2209,Minimum White Tiles After Covering With Carpets,minimum-white-tiles-after-covering-with-carpets,11780,32587
2307,2197,Replace Non-Coprime Numbers in Array,replace-non-coprime-numbers-in-array,13938,35875
2301,2183,Count Array Pairs Divisible by K,count-array-pairs-divisible-by-k,15827,53648
2295,2188,Minimum Time to Finish the Race,minimum-time-to-finish-the-race,11539,27850
2291,2172,Maximum AND Sum of Array,maximum-and-sum-of-array,13385,27410
2286,2167,Minimum Time to Remove All Cars Containing Illegal Goods,minimum-time-to-remove-all-cars-containing-illegal-goods,12089,29299
2280,2179,Count Good Triplets in an Array,count-good-triplets-in-an-array,7915,19387
2276,2157,Groups of Strings,groups-of-strings,9261,35559
2275,2156,Find Substring With Given Hash Value,find-substring-with-given-hash-value,13056,55809
2272,2151,Maximum Good People Based on Statements,maximum-good-people-based-on-statements,12773,25681
2267,2163,Minimum Difference in Sums After Removal of Elements,minimum-difference-in-sums-after-removal-of-elements,9779,20416
2263,2141,Maximum Running Time of N Computers,maximum-running-time-of-n-computers,59747,119543
2257,2136,Earliest Possible Day of Full Bloom,earliest-possible-day-of-full-bloom,52789,73616
