stat.question_id,stat.frontend_question_id,stat.question__title,stat.question__title_slug,stat.total_acs,stat.total_submitted
2848,2741,Special Permutations,special-permutations,13515,48267
2845,2740,Find the Value of the Partition,find-the-value-of-the-partition,31669,48755
2838,2718,Sum of Matrix After Queries,sum-of-matrix-after-queries,20378,66496
2837,2749,Minimum Operations to Make the Integer Zero,minimum-operations-to-make-the-integer-zero,9015,30750
2834,2766,Relocate Marbles,relocate-marbles,19280,37536
2833,2747,Count Zero Request Servers,count-zero-request-servers,5674,17573
2832,2831,Find the Longest Equal Subarray,find-the-longest-equal-subarray,18699,53045
2828,2734,Lexicographically Smallest String After Substring Operation,lexicographically-smallest-string-after-substring-operation,25849,85195
2817,2712,Minimum Cost to Make All Characters Equal,minimum-cost-to-make-all-characters-equal,17764,32855
2811,2829,Determine the Minimum Sum of a k-avoiding Array,determine-the-minimum-sum-of-a-k-avoiding-array,33704,55168
2810,2735,Collecting Chocolates,collecting-chocolates,11366,34515
2807,2721,Execute Asynchronous Functions in Parallel,execute-asynchronous-functions-in-parallel,19911,26915
2804,2705,Compact Object,compact-object,17936,27955
2802,2698,Find the Punishment Number of an Integer,find-the-punishment-number-of-an-integer,18991,30651
2801,2711,Difference of Number of Distinct Values on Diagonals,difference-of-number-of-distinct-values-on-diagonals,18972,26782
2797,2694,Event Emitter,event-emitter,20738,27537
2794,2684,Maximum Number of Moves in a Grid,maximum-number-of-moves-in-a-grid,23127,50695
2793,2685,Count the Number of Complete Components,count-the-number-of-complete-components,24510,37680
2792,2683,Neighboring Bitwise XOR,neighboring-bitwise-xor,21198,34503
2790,2693,Call Function with Custom Context,call-function-with-custom-context,9594,11935
2787,2731,Movement of Robots,movement-of-robots,12723,45723
2786,2730,Find the Longest Semi-Repetitive Substring,find-the-longest-semi-repetitive-substring,22134,61182
2783,2649,Nested Array Generator,nested-array-generator,11465,14533
2780,2673,Make Costs of Paths Equal in a Binary Tree,make-costs-of-paths-equal-in-a-binary-tree,15389,26100
2779,2672,Number of Adjacent Elements With the Same Color,number-of-adjacent-elements-with-the-same-color,14995,27587
2778,2671,Frequency Tracker,frequency-tracker,20810,70494
2766,2657,Find the Prefix Common Array of Two Arrays,find-the-prefix-common-array-of-two-arrays,38772,47962
2764,2658,Maximum Number of Fish in a Grid,maximum-number-of-fish-in-a-grid,24500,41198
2762,2622,Cache With Time Limit,cache-with-time-limit,37330,50582
2760,2624,Snail Traversal,snail-traversal,9433,14535
2759,2625,Flatten Deeply Nested Array,flatten-deeply-nested-array,35193,55404
2758,2618,Check if Object Instance of Class,check-if-object-instance-of-class,21326,76947
2755,2707,Extra Characters in a String,extra-characters-in-a-string,84518,160819
2754,2708,Maximum Strength of a Group,maximum-strength-of-a-group,26532,110817
2753,2654,Minimum Number of Operations to Make All Array Elements Equal to 1,minimum-number-of-operations-to-make-all-array-elements-equal-to-1,12192,34869
2751,2653,Sliding Subarray Beauty,sliding-subarray-beauty,19297,58809
2749,2637,Promise Time Limit,promise-time-limit,45275,55798
2743,2627,Debounce,debounce,39942,44164
2742,2631,Group By,group-by,35515,44021
2736,2645,Minimum Additions to Make Valid String,minimum-additions-to-make-valid-string,27396,54579
2731,2623,Memoize,memoize,83980,135027
2730,2680,Maximum OR,maximum-or,13041,32167
2728,2679,Sum in a Matrix,sum-in-a-matrix,31678,53197
2725,2611,Mice and Cheese,mice-and-cheese,24009,53202
2724,2610,Convert an Array Into a 2D Array With Conditions,convert-an-array-into-a-2d-array-with-conditions,190014,217888
2721,2615,Sum of Distances,sum-of-distances,18916,61615
2720,2616,Minimize the Maximum Difference of Pairs,minimize-the-maximum-difference-of-pairs,70133,159437
2718,2602,Minimum Operations to Make All Array Elements Equal,minimum-operations-to-make-all-array-elements-equal,16798,47892
2716,2601,Prime Subtraction Operation,prime-subtraction-operation,16131,42925
2713,2575,Find the Divisibility Array of a String,find-the-divisibility-array-of-a-string,26793,82666
2712,2576,Find the Maximum Number of Marked Indices,find-the-maximum-number-of-marked-indices,19202,50290
2710,2571,Minimum Operations to Reduce an Integer to 0,minimum-operations-to-reduce-an-integer-to-0,27295,49909
2709,2572,Count the Number of Square-Free Subsets,count-the-number-of-square-free-subsets,8979,39056
2706,2567,Minimum Score by Changing Two Elements,minimum-score-by-changing-two-elements,16375,34316
2705,2568,Minimum Impossible OR,minimum-impossible-or,14927,26009
2700,2564,Substring XOR Queries,substring-xor-queries,12145,36377
2699,2563,Count the Number of Fair Pairs,count-the-number-of-fair-pairs,24203,74111
2696,2597,The Number of Beautiful Subsets,the-number-of-beautiful-subsets,23610,69087
2695,2593,Find Score of an Array After Marking All Elements,find-score-of-an-array-after-marking-all-elements,17570,33642
